"filename", "language", "TypeScript", "JSON", "vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Dev\bili-opinion-monitor\client\src\App.vue", "vue", 0, 0, 37, 0, 0, 0, 8, 45
"c:\Dev\bili-opinion-monitor\client\src\api\config\servicePort.ts", "TypeScript", 2, 0, 0, 0, 0, 1, 1, 4
"c:\Dev\bili-opinion-monitor\client\src\api\helper\checkStatus.ts", "TypeScript", 37, 0, 0, 0, 0, 5, 2, 44
"c:\Dev\bili-opinion-monitor\client\src\api\index.ts", "TypeScript", 86, 0, 0, 0, 0, 24, 8, 118
"c:\Dev\bili-opinion-monitor\client\src\api\interface\index.ts", "TypeScript", 77, 0, 0, 0, 0, 7, 7, 91
"c:\Dev\bili-opinion-monitor\client\src\api\interface\monitor.ts", "TypeScript", 76, 0, 0, 0, 0, 11, 8, 95
"c:\Dev\bili-opinion-monitor\client\src\api\modules\login.ts", "TypeScript", 17, 0, 0, 0, 0, 11, 5, 33
"c:\Dev\bili-opinion-monitor\client\src\api\modules\monitor.ts", "TypeScript", 40, 0, 0, 0, 0, 11, 17, 68
"c:\Dev\bili-opinion-monitor\client\src\assets\fonts\font.scss", "SCSS", 0, 0, 0, 12, 0, 0, 3, 15
"c:\Dev\bili-opinion-monitor\client\src\assets\iconfont\iconfont.scss", "SCSS", 0, 0, 0, 48, 0, 0, 1, 49
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingdaoyu.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingdiqiu.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingditu.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingfanchuan.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingfeiji.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxinglvhangriji.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingtianqiyubao.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingxiangjipaizhao.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingxiarilengyin.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingyoulun.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\icons\xianxingzijiayou.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Dev\bili-opinion-monitor\client\src\assets\images\login_bg.svg", "XML", 0, 0, 0, 0, 22, 4, 7, 33
"c:\Dev\bili-opinion-monitor\client\src\assets\images\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 1, 2
"c:\Dev\bili-opinion-monitor\client\src\assets\json\authButtonList.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Dev\bili-opinion-monitor\client\src\assets\json\authMenuList.json", "JSON", 0, 90, 0, 0, 0, 0, 1, 91
"c:\Dev\bili-opinion-monitor\client\src\components\ECharts\config\index.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 4, 73
"c:\Dev\bili-opinion-monitor\client\src\components\ECharts\index.vue", "vue", 0, 0, 85, 0, 0, 0, 18, 103
"c:\Dev\bili-opinion-monitor\client\src\components\ErrorMessage\403.vue", "vue", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Dev\bili-opinion-monitor\client\src\components\ErrorMessage\404.vue", "vue", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Dev\bili-opinion-monitor\client\src\components\ErrorMessage\500.vue", "vue", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Dev\bili-opinion-monitor\client\src\components\ErrorMessage\index.scss", "SCSS", 0, 0, 0, 32, 0, 0, 1, 33
"c:\Dev\bili-opinion-monitor\client\src\components\Loading\fullScreen.ts", "TypeScript", 27, 0, 0, 0, 0, 13, 6, 46
"c:\Dev\bili-opinion-monitor\client\src\components\Loading\index.scss", "SCSS", 0, 0, 0, 65, 0, 0, 3, 68
"c:\Dev\bili-opinion-monitor\client\src\components\Loading\index.vue", "vue", 0, 0, 11, 0, 0, 0, 3, 14
"c:\Dev\bili-opinion-monitor\client\src\components\SwitchDark\index.vue", "vue", 0, 0, 10, 0, 0, 0, 3, 13
"c:\Dev\bili-opinion-monitor\client\src\config\index.ts", "TypeScript", 6, 0, 0, 0, 0, 7, 7, 20
"c:\Dev\bili-opinion-monitor\client\src\config\nprogress.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Dev\bili-opinion-monitor\client\src\directives\index.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 4, 29
"c:\Dev\bili-opinion-monitor\client\src\directives\modules\auth.ts", "TypeScript", 16, 0, 0, 0, 0, 4, 3, 23
"c:\Dev\bili-opinion-monitor\client\src\directives\modules\copy.ts", "TypeScript", 30, 0, 0, 0, 0, 5, 3, 38
"c:\Dev\bili-opinion-monitor\client\src\directives\modules\debounce.ts", "TypeScript", 25, 0, 0, 0, 0, 5, 2, 32
"c:\Dev\bili-opinion-monitor\client\src\directives\modules\draggable.ts", "TypeScript", 36, 0, 0, 0, 0, 12, 2, 50
"c:\Dev\bili-opinion-monitor\client\src\directives\modules\longpress.ts", "TypeScript", 37, 0, 0, 0, 0, 10, 3, 50
"c:\Dev\bili-opinion-monitor\client\src\directives\modules\throttle.ts", "TypeScript", 30, 0, 0, 0, 0, 10, 2, 42
"c:\Dev\bili-opinion-monitor\client\src\directives\modules\waterMarker.ts", "TypeScript", 22, 0, 0, 0, 0, 11, 4, 37
"c:\Dev\bili-opinion-monitor\client\src\enums\httpEnum.ts", "TypeScript", 20, 0, 0, 0, 0, 13, 3, 36
"c:\Dev\bili-opinion-monitor\client\src\hooks\interface\index.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 3, 33
"c:\Dev\bili-opinion-monitor\client\src\hooks\useAuthButtons.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 4, 23
"c:\Dev\bili-opinion-monitor\client\src\hooks\useDownload.ts", "TypeScript", 33, 0, 0, 0, 0, 10, 2, 45
"c:\Dev\bili-opinion-monitor\client\src\hooks\useHandleData.ts", "TypeScript", 25, 0, 0, 0, 0, 8, 2, 35
"c:\Dev\bili-opinion-monitor\client\src\hooks\useOnline.ts", "TypeScript", 17, 0, 0, 0, 0, 6, 5, 28
"c:\Dev\bili-opinion-monitor\client\src\hooks\usePagination.ts", "TypeScript", 24, 0, 0, 0, 0, 4, 8, 36
"c:\Dev\bili-opinion-monitor\client\src\hooks\useSelection.ts", "TypeScript", 20, 0, 0, 0, 0, 10, 5, 35
"c:\Dev\bili-opinion-monitor\client\src\hooks\useTable.ts", "TypeScript", 89, 0, 0, 0, 0, 55, 11, 155
"c:\Dev\bili-opinion-monitor\client\src\hooks\useTheme.ts", "TypeScript", 91, 0, 0, 0, 0, 11, 10, 112
"c:\Dev\bili-opinion-monitor\client\src\hooks\useTime.ts", "TypeScript", 30, 0, 0, 0, 0, 4, 5, 39
"c:\Dev\bili-opinion-monitor\client\src\languages\index.ts", "TypeScript", 14, 0, 0, 0, 0, 1, 4, 19
"c:\Dev\bili-opinion-monitor\client\src\languages\modules\en.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 1, 30
"c:\Dev\bili-opinion-monitor\client\src\languages\modules\zh.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 1, 30
"c:\Dev\bili-opinion-monitor\client\src\layouts\LayoutClassic\index.scss", "SCSS", 0, 0, 0, 60, 0, 0, 1, 61
"c:\Dev\bili-opinion-monitor\client\src\layouts\LayoutClassic\index.vue", "vue", 0, 0, 57, 0, 0, 1, 5, 63
"c:\Dev\bili-opinion-monitor\client\src\layouts\LayoutColumns\index.scss", "SCSS", 0, 0, 0, 95, 0, 0, 1, 96
"c:\Dev\bili-opinion-monitor\client\src\layouts\LayoutColumns\index.vue", "vue", 0, 0, 96, 0, 0, 1, 7, 104
"c:\Dev\bili-opinion-monitor\client\src\layouts\LayoutTransverse\index.scss", "SCSS", 0, 0, 0, 59, 0, 0, 2, 61
"c:\Dev\bili-opinion-monitor\client\src\layouts\LayoutTransverse\index.vue", "vue", 0, 0, 54, 0, 0, 2, 6, 62
"c:\Dev\bili-opinion-monitor\client\src\layouts\LayoutVertical\index.scss", "SCSS", 0, 0, 0, 48, 0, 0, 1, 49
"c:\Dev\bili-opinion-monitor\client\src\layouts\LayoutVertical\index.vue", "vue", 0, 0, 51, 0, 0, 1, 5, 57
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Footer\index.scss", "SCSS", 0, 0, 0, 11, 0, 0, 1, 12
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Footer\index.vue", "vue", 0, 0, 8, 0, 0, 0, 2, 10
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\ToolBarLeft.vue", "vue", 0, 0, 21, 0, 0, 0, 3, 24
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\ToolBarRight.vue", "vue", 0, 0, 48, 0, 0, 0, 4, 52
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\AssemblySize.vue", "vue", 0, 0, 33, 0, 0, 0, 5, 38
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\Avatar.vue", "vue", 0, 0, 70, 0, 0, 2, 8, 80
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\Breadcrumb.vue", "vue", 0, 0, 90, 0, 0, 0, 6, 96
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\CollapseIcon.vue", "vue", 0, 0, 18, 0, 0, 0, 4, 22
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\Fullscreen.vue", "vue", 0, 0, 21, 0, 0, 0, 5, 26
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\InfoDialog.vue", "vue", 0, 0, 19, 0, 0, 0, 4, 23
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\Language.vue", "vue", 0, 0, 34, 0, 0, 0, 5, 39
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\Message.vue", "vue", 0, 0, 107, 0, 0, 0, 3, 110
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\PasswordDialog.vue", "vue", 0, 0, 19, 0, 0, 0, 4, 23
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\SearchMenu.vue", "vue", 0, 0, 106, 0, 0, 0, 8, 114
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Header\components\ThemeSetting.vue", "vue", 0, 0, 11, 0, 0, 0, 2, 13
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Main\components\Maximize.vue", "vue", 0, 0, 36, 0, 0, 0, 4, 40
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Main\index.scss", "SCSS", 0, 0, 0, 10, 0, 0, 1, 11
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Main\index.vue", "vue", 0, 0, 67, 0, 0, 0, 9, 76
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Menu\SubMenu.vue", "vue", 0, 0, 81, 0, 0, 0, 5, 86
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Tabs\components\MoreButton.vue", "vue", 0, 0, 74, 0, 0, 0, 8, 82
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Tabs\index.scss", "SCSS", 0, 0, 0, 69, 0, 0, 1, 70
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\Tabs\index.vue", "vue", 0, 0, 98, 0, 0, 0, 11, 109
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\ThemeDrawer\index.scss", "SCSS", 0, 0, 0, 137, 0, 0, 1, 138
"c:\Dev\bili-opinion-monitor\client\src\layouts\components\ThemeDrawer\index.vue", "vue", 0, 0, 174, 0, 0, 3, 10, 187
"c:\Dev\bili-opinion-monitor\client\src\layouts\index.vue", "vue", 0, 0, 27, 0, 0, 1, 5, 33
"c:\Dev\bili-opinion-monitor\client\src\layouts\indexAsync.vue", "vue", 0, 0, 31, 0, 0, 1, 5, 37
"c:\Dev\bili-opinion-monitor\client\src\main.ts", "TypeScript", 24, 0, 0, 0, 0, 17, 5, 46
"c:\Dev\bili-opinion-monitor\client\src\routers\index.ts", "TypeScript", 45, 0, 0, 0, 0, 12, 15, 72
"c:\Dev\bili-opinion-monitor\client\src\routers\modules\dynamicRouter.ts", "TypeScript", 35, 0, 0, 0, 0, 7, 6, 48
"c:\Dev\bili-opinion-monitor\client\src\routers\modules\staticRouter.ts", "TypeScript", 53, 0, 0, 0, 0, 8, 3, 64
"c:\Dev\bili-opinion-monitor\client\src\stores\helper\persist.ts", "TypeScript", 10, 0, 0, 0, 0, 7, 3, 20
"c:\Dev\bili-opinion-monitor\client\src\stores\index.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 3, 9
"c:\Dev\bili-opinion-monitor\client\src\stores\interface\index.ts", "TypeScript", 47, 0, 0, 0, 0, 6, 9, 62
"c:\Dev\bili-opinion-monitor\client\src\stores\modules\auth.ts", "TypeScript", 32, 0, 0, 0, 0, 11, 2, 45
"c:\Dev\bili-opinion-monitor\client\src\stores\modules\global.ts", "TypeScript", 33, 0, 0, 0, 0, 19, 2, 54
